Datetime,SP500,DOW30,NASDAQ,SSE,SZI,KOSPI,DAX30,CAC40
2008/4/1,1370.18 ,12654.36 ,2362.75 ,3329.16 ,12460.62 ,1702.25 ,6720.33 ,4866.00 
2008/4/2,1367.53 ,12608.92 ,2361.40 ,3347.88 ,12344.24 ,1742.19 ,6777.44 ,4911.97 
2008/4/3,1369.31 ,12626.03 ,2363.30 ,3446.24 ,12652.91 ,1763.63 ,6741.72 ,4887.87 
2008/4/4,1370.40 ,12609.42 ,2370.98 ,3446.24 ,12652.91 ,1766.49 ,6763.39 ,4900.88 
2008/4/7,1372.54 ,12612.43 ,2364.83 ,3599.62 ,13396.61 ,1773.56 ,6821.03 ,4944.60 
2008/4/8,1365.54 ,12576.44 ,2348.76 ,3612.54 ,13592.64 ,1754.71 ,6771.98 ,4912.69 
2008/4/9,1354.49 ,12527.26 ,2322.12 ,3413.91 ,13078.81 ,1754.71 ,6721.36 ,4874.97 
2008/4/10,1360.55 ,12581.98 ,2351.70 ,3471.74 ,13286.68 ,1764.64 ,6704.32 ,4859.42 
2008/4/11,1332.83 ,12325.42 ,2290.24 ,3492.89 ,13328.11 ,1779.71 ,6603.57 ,4797.93 
2008/4/14,1328.32 ,12302.06 ,2275.82 ,3296.67 ,12343.60 ,1746.71 ,6554.49 ,4766.49 
2008/4/15,1334.43 ,12362.47 ,2286.04 ,3348.35 ,12390.79 ,1742.17 ,6585.05 ,4780.68 
2008/4/16,1364.71 ,12619.27 ,2350.11 ,3291.60 ,12057.27 ,1758.56 ,6702.84 ,4855.10 
2008/4/17,1365.56 ,12620.49 ,2341.83 ,3222.74 ,11657.08 ,1768.67 ,6681.81 ,4862.14 
2008/4/18,1390.33 ,12849.36 ,2402.97 ,3094.67 ,11292.04 ,1771.90 ,6843.08 ,4961.69 
2008/4/21,1388.17 ,12825.02 ,2408.04 ,3116.98 ,11094.33 ,1800.48 ,6786.55 ,4910.35 
2008/4/22,1375.94 ,12720.23 ,2376.94 ,3147.79 ,11174.77 ,1787.49 ,6728.30 ,4872.64 
2008/4/23,1379.93 ,12763.22 ,2405.21 ,3278.33 ,11784.15 ,1800.79 ,6795.03 ,4944.65 
2008/4/24,1388.82 ,12848.95 ,2428.92 ,3583.03 ,12914.76 ,1799.34 ,6821.32 ,4929.55 
2008/4/25,1397.84 ,12891.86 ,2422.93 ,3557.75 ,13104.95 ,1824.68 ,6896.58 ,4978.21 
2008/4/28,1396.37 ,12871.75 ,2424.40 ,3474.72 ,12782.50 ,1823.17 ,6925.33 ,5012.75 
2008/4/29,1390.94 ,12831.94 ,2426.10 ,3523.41 ,12880.88 ,1811.51 ,6885.34 ,4977.10 
2008/4/30,1385.59 ,12820.13 ,2412.80 ,3693.11 ,13504.89 ,1825.47 ,6948.82 ,4996.54 
2008/5/1,1409.34 ,13010.00 ,2480.71 ,3693.11 ,13504.89 ,1825.47 ,6948.82 ,4996.54 
2008/5/2,1413.90 ,13058.20 ,2476.99 ,3693.11 ,13504.89 ,1848.27 ,7043.23 ,5069.71 
2008/5/6,1418.26 ,13020.83 ,2483.31 ,3733.50 ,13702.56 ,1859.06 ,7017.10 ,5040.92 
2008/5/7,1392.57 ,12814.35 ,2438.49 ,3579.15 ,12979.19 ,1854.01 ,7076.25 ,5075.31 
2008/5/8,1397.68 ,12866.78 ,2451.24 ,3656.84 ,13317.53 ,1848.00 ,7071.90 ,5055.58 
2008/5/9,1388.28 ,12745.88 ,2445.52 ,3613.49 ,13080.37 ,1823.70 ,7003.17 ,4960.56 
2008/5/12,1403.58 ,12876.31 ,2488.49 ,3626.98 ,13166.10 ,1823.70 ,7035.95 ,4976.21 
2008/5/13,1403.04 ,12832.18 ,2495.12 ,3560.24 ,13074.23 ,1842.80 ,7060.19 ,4998.67 
2008/5/14,1408.66 ,12898.38 ,2496.70 ,3657.43 ,13532.34 ,1843.75 ,7083.24 ,5055.24 
2008/5/15,1423.57 ,12992.66 ,2533.73 ,3637.32 ,13410.15 ,1885.71 ,7081.05 ,5057.51 
2008/5/16,1425.35 ,12986.80 ,2528.85 ,3624.23 ,13314.38 ,1888.88 ,7156.55 ,5078.04 
2008/5/19,1426.63 ,13028.16 ,2516.09 ,3604.76 ,13197.59 ,1885.37 ,7225.94 ,5142.10 
2008/5/20,1413.40 ,12828.68 ,2492.26 ,3443.16 ,12449.81 ,1873.15 ,7118.50 ,5054.88 
2008/5/21,1390.71 ,12601.19 ,2448.27 ,3544.19 ,12659.82 ,1847.51 ,7040.83 ,5027.55 
2008/5/22,1394.35 ,12625.62 ,2464.58 ,3485.63 ,12366.19 ,1835.42 ,7070.33 ,5028.74 
2008/5/23,1375.93 ,12479.63 ,2444.67 ,3473.09 ,12216.39 ,1827.94 ,6944.05 ,4933.77 
2008/5/27,1385.35 ,12548.35 ,2481.24 ,3375.41 ,11998.37 ,1825.23 ,6958.66 ,4906.56 
2008/5/28,1390.84 ,12594.03 ,2486.70 ,3459.03 ,12313.66 ,1805.64 ,7033.84 ,4971.11 
2008/5/29,1398.26 ,12646.22 ,2508.32 ,3401.44 ,11947.14 ,1841.22 ,7055.03 ,4975.90 
2008/5/30,1400.38 ,12638.32 ,2522.66 ,3433.35 ,12048.24 ,1852.02 ,7096.79 ,5014.28 
2008/6/2,1385.67 ,12503.82 ,2491.53 ,3459.04 ,12057.25 ,1847.53 ,7008.77 ,4935.21 
2008/6/3,1377.65 ,12402.85 ,2480.48 ,3436.40 ,11991.58 ,1819.39 ,7019.13 ,4983.71 
2008/6/4,1377.20 ,12390.48 ,2503.14 ,3369.91 ,11970.48 ,1833.81 ,6965.43 ,4915.07 
2008/6/5,1404.05 ,12604.45 ,2549.94 ,3351.64 ,11860.27 ,1832.31 ,6941.83 ,4907.06 
2008/6/6,1360.68 ,12209.81 ,2474.56 ,3329.67 ,11733.97 ,1832.31 ,6803.81 ,4795.32 
2008/6/9,1361.76 ,12280.32 ,2459.46 ,3329.67 ,11733.97 ,1808.96 ,6815.63 ,4799.38 
2008/6/10,1358.44 ,12289.76 ,2448.94 ,3072.33 ,10765.91 ,1774.38 ,6771.10 ,4761.08 
2008/6/11,1335.49 ,12083.77 ,2394.01 ,3024.24 ,10458.08 ,1781.67 ,6650.26 ,4660.91 
2008/6/12,1339.87 ,12141.58 ,2404.35 ,2957.53 ,10340.14 ,1739.36 ,6714.52 ,4672.30 
2008/6/13,1360.03 ,12307.35 ,2454.50 ,2868.80 ,9936.73 ,1747.35 ,6765.32 ,4682.30 
2008/6/16,1360.14 ,12269.08 ,2474.78 ,2874.10 ,9825.27 ,1760.82 ,6729.88 ,4657.74 
2008/6/17,1350.93 ,12160.30 ,2457.73 ,2794.75 ,9429.50 ,1750.71 ,6796.16 ,4686.33 
2008/6/18,1337.81 ,12029.06 ,2429.71 ,2941.11 ,9903.14 ,1774.13 ,6728.91 ,4618.75 
